日期,US10Y,DXY,RRP,VIX,HYG,黄金,白银,铜,BTC.D,稳定币,TGA,恐慌,汇率
2026-03-23,4.39%,100.08,$1B,30.31,78.92,4266.10,64.04,5.31,56.4%,$267.9B,$853052B,8,6.92
2026-03-22,4.39%,99.5,$1B,26.78,78.92,4574.9,69.66,5.37,56.3%,$268.1B,$853052B,10,6.9
2026-03-21,4.39%,99.5,$1B,26.78,78.92,4574.9,69.66,5.37,56.5%,$268.1B,$853052B,12,6.9
2026-03-20,4.28%,99.58,$1B,25.67,79.66,4659.8,71.71,5.45,56.5%,$268.3B,$853052B,11,6.89
2026-03-19,4.26%,100.11,$1B,25.59,79.4,4691.1,71.5,5.45,56.3%,$267.7B,$838186B,23,6.9
2026-03-18,4.20%,,$1B,21.53,79.81,4988.2,79.89,5.73,56.7%,$268.6B,$838186B,26,6.88
2026-03-17,4.22%,,$1B,23.86,79.45,5007.2,80.47,5.76,56.6%,$268.4B,$838186B,28,6.89
2026-03-16,4.28%,,$0B,25.61,79.2,4990.0,77.95,5.75,56.8%,$268.2B,$838186B,23,6.89
2026-03-15,4.28%,100.5,$0B,27.19,79.2,5061.7,81.34,5.76,57.0%,$268.1B,$838186B,15,6.91
2026-03-14,4.28%,100.5,$0B,27.19,79.2,5061.7,81.34,5.76,56.9%,$268.1B,$838186B,16,6.91
2026-03-13,4.27%,,$0B,26.7,79.35,5099.3,83.26,5.81,57.0%,$267.8B,$838186B,15,6.9
2026-03-12,4.21%,99.36,,25.15,79.86,5191.2,87.15,5.89,56.8%,$267.6B,$832053B,18,6.87
2026-03-11,4.14%,98.98,$0B,25.52,80.04,5201.1,87.25,5.87,56.8%,$267.5B,$832053B,15,6.87
2026-03-10,4.14%,98.68,$0B,24.14,80.17,5188.2,88.96,5.92,57.0%,$267.0B,$832053B,13,6.87
2026-03-09,4.13%,99.33,$2B,32.03,79.69,5113.2,84.32,5.77,56.5%,$266.0B,$832053B,8,6.92
2026-03-08,4.13%,98.86,$2B,29.49,79.69,5158.7,84.31,5.81,56.7%,$266.1B,$832053B,12,6.9
2026-03-07,4.13%,98.99,$2B,29.49,79.69,5146.1,83.82,5.76,56.6%,$266.1B,$832053B,12,6.9
2026-03-06,4.15%,99.24,$3B,24.23,80.08,5091.2,82.92,5.81,57.0%,$266.1B,$832053B,18,6.91
2026-03-05,4.13%,99.27,,23.07,80.27,5092.2,,5.82,57.2%,$265.3B,$887612B,22,6.91
